timestamp,percent_coverage,total_delay,count_pending
2018-11-26 18:51:41.174745,0.0,0 days 04:37:58.516219000,10
2018-11-26 19:21:51.681220,0.0,0 days 09:39:43.580969000,11
2018-11-26 19:26:47.475010,0.0,0 days 10:33:57.312659000,11
2018-11-26 19:14:34.933668,0.0,0 days 08:19:39.357897000,11
2018-11-26 18:44:05.380138,0.0,0 days 02:44:14.269067000,11
2018-11-26 19:22:42.174745,0.0,0 days 09:48:59.009744000,11
2018-11-26 19:31:15.741128,0.18181818181818182,0 days 11:23:08.239957000,11
2018-11-26 19:31:15.741128,0.0,0 days 09:29:37.086411000,10
2018-11-26 19:32:22.464936,0.0,0 days 09:40:44.324491000,10
2018-11-26 19:08:06.954220,0.10101010101010101,0 days 05:38:09.217331000,10
2018-11-26 19:08:06.954220,0.0,0 days 04:26:00.206093000,9
2018-11-26 19:29:14.886109,0.0,0 days 07:36:11.593094000,9
2018-11-26 19:38:10.743300,0.0,0 days 08:56:34.307813000,10
2018-11-26 19:41:55.475010,0.2727272727272727,0 days 09:34:01.624913000,10
2018-11-26 19:41:55.475010,0.0,0 days 07:51:53.558219000,9
2018-11-26 19:45:23.933668,0.0,0 days 08:23:09.686141000,9
2018-11-26 19:12:29.380138,0.10101010101010101,0 days 03:26:58.704371000,9
2018-11-26 19:12:29.380138,0.0,0 days 02:20:47.396370000,8
2018-11-26 19:32:07.380138,0.0,0 days 04:57:51.396370000,8
2018-11-26 19:46:01.174745,0.0,0 days 06:49:01.753226000,8
2018-11-26 19:50:28.380138,0.0,0 days 07:24:39.396370000,8
2018-11-26 20:00:48.292672,0.0,0 days 08:47:18.696642000,9
2018-11-26 20:04:18.741128,0.0,0 days 09:18:52.732746000,9
2018-11-26 20:06:19.464936,0.0,0 days 09:36:59.247018000,9
2018-11-26 20:05:25.475010,0.0,0 days 09:28:53.337684000,9
2018-11-26 20:13:37.933668,0.0,0 days 10:42:45.465606000,9
2018-11-26 19:32:21.954220,0.0,0 days 04:31:21.650574000,9
2018-11-26 20:03:10.954220,0.0,0 days 09:08:42.650574000,9
2018-11-26 20:13:06.886109,0.2828282828282828,0 days 10:38:06.037575000,9
2018-11-26 20:13:06.886109,0.0,0 days 08:47:08.664498000,8
2018-11-26 20:23:30.380138,0.0,0 days 10:10:16.616730000,8
2018-11-26 20:11:24.174745,0.0707070707070707,0 days 08:33:26.973586000,8
2018-11-26 20:11:24.174745,0.0,0 days 07:05:05.526378000,7
2018-11-26 20:20:15.464936,0.0,0 days 08:07:04.557715000,7
2018-11-26 20:24:48.886109,0.0,0 days 08:38:58.505926000,7
2018-11-26 20:27:31.933668,0.12121212121212122,0 days 08:57:59.838839000,7
2018-11-26 20:27:31.933668,0.0,0 days 07:14:29.338231000,6
